play_name,character_name,character_role,gender,description,,,,,,
Romeo and Juliet,Rosaline, ,W,"The woman with whom Romeo is infatuated at the beginning of the play. Rosaline never appears onstage, but it is said by other characters that she is very beautiful and has sworn to live a life of chastity.",,,,,,
King Lear,King Lear,King of Britain,M,"The aging king of Britain and the protagonist of the play. Lear is used to enjoying absolute power and to being flattered, and he does not respond well to being contradicted or challenged. At the beginning of the play, his values are notably hollow—he prioritizes the appearance of love over actual devotion and wishes to maintain the power of a king while unburdening himself of the responsibility. Nevertheless, he inspires loyalty in subjects such as Gloucester, Kent, Cordelia, and Edgar, all of whom risk their lives for him.",,,,,,
King Lear,Cordelia,King Lear's daughter,W,"Lear’s youngest daughter, disowned by her father for refusing to flatter him. Cordelia is held in extremely high regard by all of the good characters in the play—the king of France marries her for her virtue alone, overlooking her lack of dowry. She remains loyal to Lear despite his cruelty toward her, forgives him, and displays a mild and forbearing temperament even toward her evil sisters, Goneril and Regan. Despite her obvious virtues, Cordelia’s reticence makes her motivations difficult to read, as in her refusal to declare her love for her father at the beginning of the play.",,,,,,
King Lear,Goneril,King Lear's daughter,W,"Lear’s ruthless oldest daughter and the wife of the duke of Albany. Goneril is jealous, treacherous, and amoral. Shakespeare’s audience would have been particularly shocked at Goneril’s aggressiveness, a quality that it would not have expected in a female character. She challenges Lear’s authority, boldly initiates an affair with Edmund, and wrests military power away from her husband.",,,,,,
King Lear,Regan,King Lear's daughter,W,"Lear’s middle daughter and the wife of the duke of Cornwall. Regan is as ruthless as Goneril and as aggressive in all the same ways. In fact, it is difficult to think of any quality that distinguishes her from her sister. When they are not egging each other on to further acts of cruelty, they jealously compete for the same man, Edmund.",,,,,,
King Lear,Gloucester,"Earl of Gloucester, courtier of King Lear",M,"A nobleman loyal to King Lear whose rank, earl, is below that of duke. The first thing we learn about Gloucester is that he is an adulterer, having fathered a bastard son, Edmund. His fate is in many ways parallel to that of Lear: he misjudges which of his children to trust. He appears weak and ineffectual in the early acts, when he is unable to prevent Lear from being turned out of his own house, but he later demonstrates that he is also capable of great bravery.",,,,,,
King Lear,Edmund,Gloucester's illegitimate son,M,"Gloucester’s younger, illegitimate son. Edmund resents his status as a bastard and schemes to usurp Gloucester’s title and possessions from Edgar. He is a formidable character, succeeding in almost all of his schemes and wreaking destruction upon virtually all of the other characters.",,,,,,
King Lear,Edgar,"Gloucster's legitamite son and heir, Lear's godson",M,"Gloucester’s older, legitimate son. Edgar plays many different roles, starting out as a gullible fool easily tricked by his brother, then assuming a disguise as a mad beggar to evade his father’s men, then carrying his impersonation further to aid Lear and Gloucester, and finally appearing as an armored champion to avenge his brother’s treason. Edgar’s propensity for disguises and impersonations makes it difficult to characterize him effectively.",,,,,,
King Lear,Kent,King Lear's Servant,M,"A nobleman of the same rank as Gloucester who is loyal to King Lear. Kent spends most of the play disguised as a peasant, calling himself “Caius,” so that he can continue to serve Lear even after Lear banishes him. He is extremely loyal, but he gets himself into trouble throughout the play by being extremely blunt and outspoken.",,,,,,
King Lear,Albany,Duke of Albany,M,"The husband of Lear’s daughter Goneril. Albany is good at heart, and he eventually denounces and opposes the cruelty of Goneril, Regan, and Cornwall. Yet he is indecisive and lacks foresight, realizing the evil of his allies quite late in the play.",,,,,,
King Lear,Cornwall,Duke of Cornwall,M,"The husband of Lear’s daughter Regan. Unlike Albany, Cornwall is domineering, cruel, and violent, and he works with his wife and sister-in-law Goneril to persecute Lear and Gloucester.",,,,,,
King Lear,Fool,fool,M,"Lear’s jester, who uses double-talk and seemingly frivolous songs to give Lear important advice.",,,,,,
King Lear,Oswald,Steward to Goneril,M,"The steward, or chief servant, in Goneril’s house. Oswald obeys his mistress’s commands and helps her in her conspiracies.",,,,,,
King Lear,King of France,King of France,M, ,,,,,,
King Lear,Duke of Burgundy,Duke of Burgundy,M, ,,,,,,
King Lear,Curan,a courtier,M, ,,,,,,
King Lear,Old Man,Tenant to gloucester,M, ,,,,,,
King Lear,Servants to Cornwall,servants to Cornwall,M, ,,,,,,
King Lear,Officer,employed by Edmund,M, ,,,,,,
King Lear,gentleman,attendant on Cordelia,M, ,,,,,,
Othello,Iago,Othello's ancient captain,M,"Othello’s ensign (a job also known as an ancient or standard-bearer), and the villain of the play. Iago is twenty-eight years old. While his ostensible reason for desiring Othello’s demise is that he has been passed over for promotion to lieutenant, Iago’s motivations are never very clearly expressed and seem to originate in an obsessive, almost aesthetic delight in manipulation and destruction.",,,,,,
Othello,Desdemona,Daughter of Brabantio,W,"The daughter of the Venetian senator Brabanzio. Desdemona and Othello are secretly married before the play begins. While in many ways stereotypically pure and meek, Desdemona is also determined and self-possessed. She is equally capable of defending her marriage, jesting bawdily with Iago, and responding with dignity to Othello’s incomprehensible jealousy.",,,,,,
Othello,Othello,general of the armies of Venice,M,"The play’s protagonist and hero. A Christian Moor and general of the armies of Venice, Othello is an eloquent and physically powerful figure, respected by all those around him. In spite of his elevated status, he is nevertheless easy prey to insecurities because of his age, his life as a soldier, and his race. He possesses a “free and open nature,” which his ensign Iago uses to twist his love for his wife, Desdemona, into a powerful and destructive jealousy.",,,,,,
Othello,Cassio,Othello's lieutenant,M,"Othello’s lieutenant. Cassio is a young and inexperienced soldier, whose high position is much resented by Iago. Truly devoted to Othello, Cassio is extremely ashamed after being implicated in a drunken brawl on Cyprus and losing his place as lieutenant. Iago uses Cassio’s youth, good looks, and friendship with Desdemona to play on Othello’s insecurities about Desdemona’s fidelity.",,,,,,
Othello,Roderigo,Venetian nobleman,M,"A jealous suitor of Desdemona. Young, rich, and foolish, Roderigo is convinced that if he gives Iago all of his money, Iago will help him win Desdemona’s hand. Repeatedly frustrated as Othello marries Desdemona and then takes her to Cyprus, Roderigo is ultimately desperate enough to agree to help Iago kill Cassio after Iago points out that Cassio is another potential rival for Desdemona.",,,,,,
Othello,Brabantio,Venetian Senator,M,"Desdemona’s father, a somewhat blustering and self-important Venetian senator. As a friend of Othello, Brabanzio feels betrayed when the general marries his daughter in secret.",,,,,,
Othello,Emilia,Iago's wife,W,"Iago’s wife and Desdemona’s attendant. A cynical, worldly woman, she is deeply attached to her mistress and distrustful of her husband.",,,,,,
Othello,Bianca,A courtesan (prostitute),W,"A courtesan, or prostitute, in Cyprus. Bianca’s favorite customer is Cassio, who teases her with promises of marriage.",,,,,,
Othello,Lodovico,Desdemona's cousin,M,"One of Brabanzio’s kinsmen, Lodovico acts as a messenger from Venice to Cyprus. He arrives in Cyprus in Act IV with letters announcing that Othello has been replaced by Cassio as governor.",,,,,,
Othello,Montano,Othello's predecesor as governor of Cyprus,M,"The governor of Cyprus before Othello. We see him first in Act II, as he recounts the status of the war and awaits the Venetian ships.",,,,,,
Othello,Gratiano,Brabantio's  brother,M,"Brabanzio’s kinsman who accompanies Lodovico to Cyprus. Amidst the chaos of the final scene, Graziano mentions that Desdemona’s father has died.",,,,,,
Othello,Duke of Venice,Duke of Venice,M,"The official authority in Venice, the duke has great respect for Othello as a public and military servant. His primary role within the play is to reconcile Othello and Brabanzio in Act I, scene iii, and then to send Othello to Cyprus.",,,,,,
Othello,Clown,clown,,"Othello’s servant. Although the clown appears only in two short scenes, his appearances reflect and distort the action and words of the main plots: his puns on the word “lie” in Act III, scene iv, for example, anticipate Othello’s confusion of two meanings of that word in Act IV, scene i.",,,,,,
,,,, ,,,,,,
,,,, ,,,,,,
,,,,  ,,,,,,
